TABLE_SCHEMA	TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	CHARACTER_MAXIMUM_LENGTH	NUMERIC_PRECISION	NUMERIC_SCALE	SOURCE
gold-db-2 postgresql.gold	analysis_project	1	analysis_project_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	2	status_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	3	is_public	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	4	added_by	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	5	add_date	TIMESTAMP	YES				information_schema
gold-db-2 postgresql.gold	analysis_project	6	mod_date	TIMESTAMP	YES				information_schema
gold-db-2 postgresql.gold	analysis_project	7	mod_by	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	8	its_analysis_project_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	9	is_primary	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	10	gold_id	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	11	analysis_project_name	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	12	appended_ap_name	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	13	analysis_project_name_full	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	14	its_analysis_project_name	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	15	its_product_name	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	16	analysis_project_type	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	17	img_submission_prority	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	18	submission_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	19	img_taxon_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	20	completion_date	TIMESTAMP	YES				information_schema
gold-db-2 postgresql.gold	analysis_project	21	reference_ap_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	22	replaces_ap_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	23	comments	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	24	annotator_comments	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	25	review_status	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	26	rejection_reasons	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	27	pi_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	28	pi_name	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	29	est_size	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	30	scaffold_count	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	31	contig_count	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	32	gene_count	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	33	binning_method	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	34	contamination_percentage	DECIMAL	YES		6	3	information_schema
gold-db-2 postgresql.gold	analysis_project	35	completeness_percentage	DECIMAL	YES		6	3	information_schema
gold-db-2 postgresql.gold	analysis_project	36	img_bin_count	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	37	bin_param	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	38	reassembly_bin	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	39	gene_calling_method	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	40	sequencing_depth	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	41	genbank_low_quality_annotation	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	42	completion	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	43	pipeline_annotation_method	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	44	is_img_annotation	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	45	img_annotation_version	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	46	specimen	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	47	its_annotation_at_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	48	its_assembly_at_type	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	49	its_ncbi_tax_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	50	its_version_number	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	51	is_decontamination	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	52	screening_method	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	53	decontamination_method	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	54	img_use	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	55	img_rnaseq_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	56	submission_status_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	57	submission_status_name	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	58	submission_comments	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	59	img_analysis_complete	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	60	ap_for_nonowner	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	61	is_assembled_deleted	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	62	trnas	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	63	trna_pred_software	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	64	sim_search_meth	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	65	recover_16s	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	66	recover_16s_software	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	67	compl_appr	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	68	mag_cov_software	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	69	organism_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	70	domain	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	71	gold_phylogeny	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	72	phylogeny_suggestion	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	73	genus	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	74	species	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	75	subspecies	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	76	strain	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	77	serovar	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	78	culture_collection	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	79	ncbi_tax_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	80	ncbi_superkingdom	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	81	ncbi_kingdom	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	82	ncbi_phylum	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	83	ncbi_class	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	84	ncbi_order	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	85	ncbi_family	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	86	ncbi_genus	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	87	ncbi_species	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	88	ncbi_biosample_accession	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	89	ncbi_bioproject_accession	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	90	ncbi_bioproject_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	91	ncbi_taxonomy_lineage	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	92	study_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	93	ecosystem_path_id	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	94	ecosystem	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	95	ecosystem_category	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	96	ecosystem_type	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	97	ecosystem_subtype	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	98	specific_ecosystem	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	99	img_predicted_viral_contigs	DECIMAL	YES		38	6	information_schema
gold-db-2 postgresql.gold	analysis_project	100	its_data_utilization_status	CHARACTER VARYING	YES	65536			information_schema
gold-db-2 postgresql.gold	analysis_project	101	analysis_system	CHARACTER VARYING	YES	65536			information_schema
