constraint_name	src_table	src_column	tgt_schema	tgt_table	tgt_column	column_position
fk_gold_ap_lookup2	gold_analysis_project_lookup2	gold_id	img_gold	gold_analysis_project	gold_id	1
fk_gold_analysis_project_users	gold_analysis_project_users	gold_id	img_gold	gold_analysis_project	gold_id	1
fk_gold_sp_cell_arrangement	gold_sp_cell_arrangement	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_collaborator	gold_sp_collaborator	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_disease	gold_sp_disease	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_energy_source	gold_sp_energy_source	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_genome_publications	gold_sp_genome_publications	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_habitat	gold_sp_habitat	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_metabolism	gold_sp_metabolism	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_phenotype	gold_sp_phenotype	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_relevance	gold_sp_relevance	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_seq_center	gold_sp_seq_center	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_seq_method	gold_sp_seq_method	gold_id	img_gold	gold_sequencing_project	gold_id	1
fk_gold_sp_study_gold_id	gold_sp_study_gold_id	gold_id	img_gold	gold_sequencing_project	gold_id	1
